query_name,raw_smiles,parent_smiles,inchi_key,chembl_id,match_method,n_candidates,n_fragments,stripped_frags,status,warning,cardiotox_label,DICT_Concern
HYALURONIC ACID,,,,CHEMBL5314376,exact_pref_name_match,20,0,[],no_structure, | No canonical_smiles in ChEMBL response,0,no
Olanzapine pamoate,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1.O.O=C(O)c1cc2ccccc2c(Cc2c(O)c(C(=O)O)cc3ccccc23)c1O,O=C(O)c1cc2ccccc2c(Cc2c(O)c(C(=O)O)cc3ccccc23)c1O,WLJNZVDCPSBLRP-UHFFFAOYSA-N,CHEMBL3989694,exact_pref_name_match,20,3,"['Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1', 'O']",success,,1,less
Trimethobenzamide Hydrochloride,COc1cc(C(=O)NCc2ccc(OCCN(C)C)cc2)cc(OC)c1OC.Cl,COc1cc(C(=O)NCc2ccc(OCCN(C)C)cc2)cc(OC)c1OC,FEZBIKUBAYAZIU-UHFFFAOYSA-N,CHEMBL1200887,exact_pref_name_match,20,2,['Cl'],success,,0,no
PENICILLIN G BENZATHINE,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O.CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O.O.O.O.O.c1ccc(CNCCNCc2ccccc2)cc1,CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O,JGSARLDLIJGVTE-MBNYWOFBSA-N,CHEMBL3989515,exact_pref_name_match,20,7,"['CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O', 'c1ccc(CNCCNCc2ccccc2)cc1', 'O', 'O', 'O', 'O']",success,,1,less
paliperidone palmitate,CCCCCCCCCCCCCCCC(=O)OC1CCCn2c1nc(C)c(CCN1CCC(c3noc4cc(F)ccc34)CC1)c2=O,CCCCCCCCCCCCCCCC(=O)OC1CCCn2c1nc(C)c(CCN1CCC(c3noc4cc(F)ccc34)CC1)c2=O,VOMKSBFLAZZBOW-UHFFFAOYSA-N,CHEMBL2107360,exact_pref_name_match,20,1,[],success,,1,most
TESTOSTERONE UNDECANOATE,CCCCCCCCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,CCCCCCCCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,UDSFVOAUHKGBEK-CNQKSJKFSA-N,CHEMBL2107067,exact_pref_name_match,20,1,[],success,,1,most
aripiprazole lauroxil,CCCCCCCCCCCC(=O)OCN1C(=O)CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc21,CCCCCCCCCCCC(=O)OCN1C(=O)CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc21,DDINXHAORAAYAD-UHFFFAOYSA-N,CHEMBL2219425,exact_pref_name_match,4,1,[],success,,1,less
PASIREOTIDE,NCCCC[C@@H]1NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](c2ccccc2)NC(=O)[C@@H]2C[C@@H](OC(=O)NCCN)CN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccc(OCc3ccccc3)cc2)NC1=O,NCCCC[C@@H]1NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](c2ccccc2)NC(=O)[C@@H]2C[C@@H](OC(=O)NCCN)CN2C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](Cc2ccc(OCc3ccccc3)cc2)NC1=O,VMZMNAABQBOLAK-DBILLSOUSA-N,CHEMBL3349607,exact_pref_name_match,4,1,[],success,,1,most
triptorelin,CC(C)C[C@H](NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)NCC(N)=O,CC(C)C[C@H](NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)NCC(N)=O,VXKHXGOKWPXYNA-PGBVPBMZSA-N,CHEMBL1201334,exact_pref_name_match,4,1,[],success,,1,less
naltrexone,,,,,,0,0,[],api_error,API request failed after all retries,1,less
CABOTEGRAVIR SODIUM,,,,,,0,0,[],api_error,API request failed after all retries,0,no
Fulvestrant,C[C@]12CC[C@@H]3c4ccc(O)cc4C[C@@H](CCCCCCCCC[S@+]([O-])CCCC(F)(F)C(F)(F)F)[C@H]3[C@@H]1CC[C@@H]2O,C[C@]12CC[C@@H]3c4ccc(O)cc4C[C@@H](CCCCCCCCC[S@+]([O-])CCCC(F)(F)C(F)(F)F)[C@H]3[C@@H]1CC[C@@H]2O,VWUXBMIQPBEWFH-GXZKXCMSSA-N,,,0,0,[],api_error,API request failed after all retries,0,no
Dimercaprol,,,,,,0,0,[],api_error,API request failed after all retries,1,less
TRIPTORELIN PAMOATE,CC(C)C[C@H](NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)NCC(N)=O.O=C(O)c1cc2ccccc2c(Cc2c(O)c(C(=O)O)cc3ccccc23)c1O,CC(C)C[C@H](NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H]1CCC(=O)N1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N1CCC[C@H]1C(=O)NCC(N)=O,VXKHXGOKWPXYNA-PGBVPBMZSA-N,CHEMBL1200554,exact_pref_name_match,20,2,['O=C(O)c1cc2ccccc2c(Cc2c(O)c(C(=O)O)cc3ccccc23)c1O'],success,,1,most
CARBOPROST TROMETHAMINE,CCCCC[C@](C)(O)/C=C/[C@@H]1[C@@H](C/C=C\CCCC(=O)O)[C@@H](O)C[C@H]1O.NC(CO)(CO)CO,CCCCC[C@](C)(O)/C=C/[C@@H]1[C@@H](C/C=C\CCCC(=O)O)[C@@H](O)C[C@H]1O,DLJKPYFALUEJCK-IIELGFQLSA-N,CHEMBL1237105,exact_pref_name_match,20,2,['NC(CO)(CO)CO'],success,,1,less
HYDROXOCOBALAMIN ACETATE,,,,CHEMBL2103737,fallback_highest_score,20,0,[],no_structure,No exact pref_name match; chose highest score (41.0) among 20 candidates | No canonical_smiles in ChEMBL response,0,no
Cyanocobalamin,CC1=CC2=C(C=C1C)N(C=N2)[C@@H]3[C@@H]([C@@H]([C@H](O3)CO)OP(=O)([O-])O[C@H](C)CNC(=O)CCC4(C)C([C@@H]5N4[Co+]678(N9=C1C(=CC1=N6C(=CC1=N7C(=C5)C(C)(C)CC(=O)N)C(C)(CC(=O)N)C1CC(=O)N)C(C)(C)[C@@H]1CCC(=O)N)N1=C(N82)C=C(C)C=C1C)C)C(C)(CC(=O)N)C1CC(=O)N)O,,RIZLXBDCUGOHMW-PXFOKSAYSA-L,,,0,0,[],api_error,API request failed after all retries,1,less
ESTRADIOL VALERATE,,,,,,0,0,[],api_error,API request failed after all retries,1,most
TESTOSTERONE CYPIONATE,,,,,,0,0,[],api_error,API request failed after all retries,1,most
STREPTOMYCIN SULFATE,,,,,,0,0,[],api_error,API request failed after all retries,0,no
MEDROXYPROGESTERONE ACETATE,,,,,,0,0,[],api_error,API request failed after all retries,1,less
HALOPERIDOL DECANOATE,CCCCCCCCCC(=O)OC1(c2ccc(Cl)cc2)CCN(CCCC(=O)c2ccc(F)cc2)CC1,CCCCCCCCCC(=O)OC1(c2ccc(Cl)cc2)CCN(CCCC(=O)c2ccc(F)cc2)CC1,GUTXTARXLVFHDK-UHFFFAOYSA-N,CHEMBL1200986,exact_pref_name_match,20,1,[],success,,1,most
ESTRADIOL CYPIONATE,,,,,,0,0,[],api_error,API request failed after all retries,1,most
Haloperidol Lactate,,,,,,0,0,[],api_error,API request failed after all retries,1,most
