resolved_name,DICT_Concern,cardiotox_label
Hyaluronic Acid,no,0
ZYPREXA Relprevv,less,1
Tigan,no,0
BICILLIN L-A,less,1
INVEGA HAFYERA,most,1
Aveed,most,1
ARISTADA,less,1
Signifor LAR,most,1
TRIPTODUR,less,1
VIVITROL,less,1
Apretude,no,0
Fulvestrant,no,0
BAL,less,1
Trelstar,most,1
carboprost tromethamine,less,1
Hydroxocobalamin,no,0
Cyanocobalamin,less,1
Estradiol Valerate,most,1
Testosterone Cypionate,most,1
Streptomycin,no,0
Medroxyprogesterone Acetate,less,1
Haloperidol Decanoate,most,1
Depo-Estradiol,most,1
Haloperidol,most,1
ziprasidone mesylate,less,1
PENICILLIN G PROCAINE,no,0
Bleomycin,less,1
Polymyxin B,no,0
Premarin,less,1
CAPASTAT SULFATE,no,0
INFED,less,1
Solu-Cortef,less,1
Calcium Disodium Versenate,less,1
Oxytocin,less,1
Penicillin G Sodium,less,1
Phentolamine Mesylate,most,1
Colistimethate Sodium,no,0
Orphenadrine Citrate,less,1
Midazolam,most,1
Metoclopramide,less,1
Penicillin G Potassium,less,1
pentamidine isethionate,less,1
Diphenhydramine Hydrochloride,less,1
PROCAINAMIDE HYDROCHLORIDE,most,1
Leucovorin Calcium,no,0
Cefuroxime sodium,no,0
PROCHLORPERAZINE EDISYLATE,less,1
Cefazolin,no,0
Droperidol,most,1
Ketamine Hydrochloride,less,1
ONDANSETRON,most,1
Pentobarbital Sodium,less,1
Amikacin Sulfate,no,0
THIAMINE HYDROCHLORIDE,no,0
Methylprednisolone Sodium Succinate,less,1
Dimenhydrinate,less,1
Methylergonovine Maleate,less,1
SUCCINYLCHOLINE CHLORIDE,most,1
Tobramycin,no,0
Aztreonam,less,1
Oxacillin,less,1
Hydralazine Hydrochloride,most,1
Colistimethate,no,0
Succinylcholine Chloride,most,1
Fosphenytoin,most,1
PYRIDOXINE HCI,no,0
Cefotetan,no,0
Ertapenem,less,1
Bumetanide,less,1
Cefotetan,no,0
ENLON,most,1
Pipracil,no,0
Cefizox,no,0
Cortrosyn,less,1
Brevital Sodium,less,1
DEMEROL,less,1
Protopam Chloride,less,1
Nalbuphine Hydrochloride,less,1
Deferoxamine mesylate,less,1
Hydromorphone Hydrochloride,less,1
Sterile Water,no,0
Revex,less,1
Purified Cortrophin Gel,less,1
Miacalcin,less,1
Makena,less,1
FLUPHENAZINE DECANOATE,most,1
Lupron Depot-PED,less,1
Miochol E,less,1
TISSUEBLUE,no,0
MEMBRANEBLUE,no,0
Steritalc 2g; Steritalc 3g; Steritalc 4g,less,1
Novocaine,less,1
PRIALT,less,1
Indium DTPA In 111,no,0
Spinraza,no,0
OMNIPAQUE,most,1
Cytarabine,less,1
ParaGard T 380A,no,0
Conray,most,1
ISOVUE 200; ISOVUE 250; ISOVUE 300; ISOVUE 370,most,1
Visipaque,most,1
PROSTIN VR PEDIATRIC,less,1
Nouress,no,0
Gallium Ga-68 PSMA-11,no,0
Amidate,less,1
Vasopressin,less,1
Ga-68-DOTATOC,no,0
Photofrin,less,1
AMONDYS 45,no,0
Kit for the Preparation of Technetium Tc 99m Medronate,no,0
Nulibry,no,0
Onpattro,less,1
Xerava,less,1
ALIQOPA,less,1
GANITE,less,1
Kimyrsa,less,1
Triferic AVNU,less,1
Ephedrine Sulfate,less,1
Fetroja,less,1
Neuraceq,no,0
CERIANNA,no,0
TAUVID,no,0
Viltepso,less,1
Zulresso,less,1
COPPER,no,0
Xofigo,no,0
Magnevist,less,1
Rapivab,no,0
MANGANESE,no,0
Azedra,less,1
Cyanokit,less,1
Cisplatin,less,1
Orbactiv,less,1
Ascor,no,0
Dopram,most,1
DAPZURA RT,less,1
REZIPRES,less,1
Detectnet,no,0
NETSPOT,no,0
OLINVYK,most,1
Potassium Acetate,most,1
Calcium Chloride,no,0
Choline C 11,no,0
Ethyol,most,1
Sodium Nitrite,most,1
Giapreza,less,1
KINEVAC,less,1
Zemdri (plazomicin),less,1
DEFITELIO,less,1
Vizamyl,less,1
Chromium,no,0
IXEMPRA,most,1
ARGATROBAN,less,1
IC-Green,no,0
YONDELIS,most,1
Sodium Thiosulfate,less,1
EOVIST,less,1
Corlopam,less,1
Technescan HDP,no,0
Selenious Acid,no,0
VENOFER (IRON SUCROSE),less,1
R-Gene,no,0
Beleodaq,less,1
CardioGen-82,most,1
BRIDION,most,1
Veletri,less,1
Calcium Gluconate,most,1
DEFINITY RT,most,1
Ferrlecit,less,1
NEUROLITE,less,1
Halaven,most,1
Monoferric,less,1
Lutathera,less,1
Folotyn,less,1
GALLIUM CITRATE GA-67,no,0
ChiRhoStim; ChiRhoStim 40,no,0
Alimta,less,1
Corvert,most,1
ERAXIS,less,1
ILLUCCIX,no,0
BELRAPZO,less,1
Foscavir,most,1
Zinc Sulfate,no,0
Hextend,less,1
OMNISCAN,less,1
Barhemsys,most,1
Choletec,no,0
Teflaro,less,1
Dopamine Hydrochloride,most,1
VAPRISOL DEXTROSE IN PLASTIC CONTAINER,less,1
Quadramet,less,1
KYPROLIS,most,1
PARSABIV,most,1
Amyvid,less,1
CYCLOPHOSPHAMIDE,most,1
Vancomycin,less,1
AGGRASTAT,less,1
KENGREAL,no,0
Injectafer,less,1
Torisel,less,1
Zanosar,no,0
Ultiva,less,1
KHAPZORY,no,0
Kit for the Preparation of Technetium Tc99m Pyrophosphate,no,0
INDIUM IN 111 CHLORIDE,no,0
ETOPOPHOS,no,0
Gallium,no,0
Cytalux,no,0
Cosela,no,0
MultiHance,most,1
DaTscan,no,0
Myoview,less,1
Drax Exametazime,less,1
Nipent,less,1
PYLARIFY,no,0
Axumin,no,0
Acetaminophen,less,1
Pepaxto,no,0
DALVANCE,no,0
Glofil-125,no,0
LEXISCAN(R) (REGADENOSON),most,1
ZEPZELCA,no,0
Fluorodopa F18,no,0
BYFAVO,most,1
Pemfexy,less,1
Ellence,most,1
Sodium Citrate,no,0
Ultratag RBC,no,0
Gadavist,less,1
Cleviprex,less,1
Alfentanil Hydrochloride,less,1
PRECEDEX,most,1
Visudyne,less,1
Korsuva,less,1
Asclera,most,1
VIBATIV,most,1
Levothyroxine Sodium,most,1
ATROPINE SULFATE; Atropine Sulfate,less,1
Vyondys 53,less,1
Cytovene IV,less,1
THAM,no,0
ProHance,less,1
PROPOFOL,most,1
Levoleucovorin,no,0
CASPOFUNGIN ACETATE,less,1
ESMOLOL HYDROCHLORIDE,most,1
Ifosfamide,most,1
Daunorubicin Hydrochloride,most,1
mitoXANTRONE,most,1
Carmustine,less,1
GEMCITABINE,less,1
CAFFEINE CITRATE,most,1
BIVALIRUDIN,less,1
VinCRIStine Sulfate,less,1
Arsenic Trioxide,most,1
Micafungin,less,1
Cefoxitin,less,1
Sodium Tetradecyl Sulfate,most,1
Paclitaxel,less,1
Mesna,less,1
Eptifibatide,less,1
Technetium Tc 99m Sestamibi,most,1
Ibuprofen Lysine,less,1
Vinblastine Sulfate,less,1
