query_name,parent_smiles,inchi_key,inchikey_block,cardiotox_label,DICT_Concern,pert_id,sig_ids,match_method
niacin,O=C(O)c1cccnc1,PVNIIMVLHYAWGP-UHFFFAOYSA-N,PVNIIMVLHYAWGP,1,less,BRD-K60237333,['REP.A015_HA1E_24H:M19'],inchikey
DIGOXIN,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,LTMHDMANZUZIPE-PUGKRICDSA-N,LTMHDMANZUZIPE,1,most,BRD-A94756469,['REP.A027_HA1E_24H:E07'],inchikey
DANAZOL,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,POZRVZJJTULAOH-LHZXLZLDSA-N,POZRVZJJTULAOH,1,less,BRD-A92537424,['REP.A028_HA1E_24H:A19'],inchikey
Aspirin,CC(=O)Oc1ccccc1C(=O)O,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,BSYNRYMUTXBXSQ,0,no,BRD-K11433652,['REP.A005_HA1E_24H:O19'],inchikey
sotalol,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,ZBMZVLHSJCTVON-UHFFFAOYSA-N,ZBMZVLHSJCTVON,1,most,BRD-A33168282,['REP.A003_HA1E_24H:H01'],inchikey
NAPROXEN,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,CMWTZPSULFXXJA-VIFPVBQESA-N,CMWTZPSULFXXJA,1,most,BRD-K59197931,['REP.A014_HA1E_24H:F19'],inchikey
ETODOLAC,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,NNYBQONXHNTVIJ-UHFFFAOYSA-N,NNYBQONXHNTVIJ,1,most,BRD-A74667430,['REP.A025_HA1E_24H:J01'],inchikey
PIMOZIDE,O=c1[nH]c2ccccc2n1C1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,YVUQSNJEYSNKRX-UHFFFAOYSA-N,YVUQSNJEYSNKRX,1,less,BRD-K01292756,['REP.A012_HA1E_24H:F19'],inchikey
URSODIOL,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,RUDATBOHQWOJDD-UZVSRGJWSA-N,RUDATBOHQWOJDD,0,no,BRD-K43723251,['REP.A007_HA1E_24H:C01'],inchikey
CEFDINIR,C=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\O)c3csc(N)n3)[C@H]2SC1,RTXOFQZKPXMALH-GHXIOONMSA-N,RTXOFQZKPXMALH,1,less,BRD-K15766189,['REP.A002_HA1E_24H:B13'],inchikey
RILUZOLE,Nc1nc2ccc(OC(F)(F)F)cc2s1,FTALBRSUTCGOEG-UHFFFAOYSA-N,FTALBRSUTCGOEG,1,less,BRD-K21283037,['REP.A006_HA1E_24H:H19'],inchikey
Busulfan,CS(=O)(=O)OCCCCOS(C)(=O)=O,COVZYZSDYWQREU-UHFFFAOYSA-N,COVZYZSDYWQREU,1,less,BRD-K23204545,['REP.A006_HA1E_24H:M19'],inchikey
RAMIPRIL,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCC[C@@H]21,HDACQVRGBOVJII-JBDAPHQKSA-N,HDACQVRGBOVJII,1,less,BRD-K89348303,['REP.A026_HA1E_24H:E19'],inchikey
ATENOLOL,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,METKIMKYRPQLGS-UHFFFAOYSA-N,METKIMKYRPQLGS,1,most,BRD-A20239487,['REP.A024_HA1E_24H:B13'],inchikey
Probucol,CC(C)(Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,FYPMFJGVHOHGLL-UHFFFAOYSA-N,FYPMFJGVHOHGLL,1,most,BRD-K72029282,['REP.A023_HA1E_24H:M13'],inchikey
ACARBOSE,C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)C(O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,XUFXOAAUWZOOIT-UGEKTDRHSA-N,XUFXOAAUWZOOIT,0,no,BRD-K01621533,['REP.A012_HA1E_24H:H01'],inchikey
ZALEPLON,CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,HUNXMJYCHXQEGX-UHFFFAOYSA-N,HUNXMJYCHXQEGX,1,less,BRD-K92657060,['REP.A027_HA1E_24H:B13'],inchikey
DIAZEPAM,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,AAOVKJBEBIDNHE-UHFFFAOYSA-N,AAOVKJBEBIDNHE,1,less,BRD-K16508793,['REP.A002_HA1E_24H:E13'],inchikey
BOSENTAN,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO,GJPICJJJRGTNOD-UHFFFAOYSA-N,GJPICJJJRGTNOD,1,less,BRD-K74763371,['REP.A024_HA1E_24H:E01'],inchikey
APIXABAN,COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1,QNZCBYKSOIHPEH-UHFFFAOYSA-N,QNZCBYKSOIHPEH,1,less,BRD-K67121414,['REP.A018_HA1E_24H:P07'],inchikey
ZILEUTON,CC(c1cc2ccccc2s1)N(O)C(N)=O,MWLSOWXNZPKENC-UHFFFAOYSA-N,MWLSOWXNZPKENC,0,no,BRD-A56359832,['REP.A007_HA1E_24H:O13'],inchikey
PINDOLOL,CC(C)NCC(O)COc1cccc2[nH]ccc12,JZQKKSLKJUAGIC-UHFFFAOYSA-N,JZQKKSLKJUAGIC,1,less,BRD-A97701745,['REP.A025_HA1E_24H:A07'],inchikey
MIGLITOL,OCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,IBAQFPQHRJAVAV-ULAWRXDQSA-N,IBAQFPQHRJAVAV,0,no,BRD-A63310107,['REP.A018_HA1E_24H:E13'],inchikey
AFATINIB,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,ULXXDDBFHOBEHA-CWDCEQMOSA-N,ULXXDDBFHOBEHA,0,no,BRD-A58767537,['LJP006_HA1E_24H:G19'],inchikey
OLAPARIB,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,FDLYAMZZIXQODN-UHFFFAOYSA-N,FDLYAMZZIXQODN,0,no,BRD-K02113016,"['LJP008_HA1E_24H:D01', 'LJP009_HA1E_24H:P19', 'REP.A012_HA1E_24H:I07']",inchikey
ORLISTAT,CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@H](CC(C)C)NC=O,AHLBNYSZXLDEJQ-FWEHEUNISA-N,AHLBNYSZXLDEJQ,0,no,BRD-K63343048,['REP.A018_HA1E_24H:F13'],inchikey
LACTITOL,OC[C@@H](O)[C@@H](O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)[C@H](O)[C@@H](O)CO,VQHSOMBJVWLPSR-JVCRWLNRSA-N,VQHSOMBJVWLPSR,1,less,BRD-A34513497,['REP.A003_HA1E_24H:K13'],inchikey
AVANAFIL,COc1ccc(CNc2nc(N3CCC[C@H]3CO)ncc2C(=O)NCc2ncccn2)cc1Cl,WEAJZXNPAWBCOA-INIZCTEOSA-N,WEAJZXNPAWBCOA,1,less,BRD-K65781196,['REP.A018_HA1E_24H:L13'],inchikey
PIROXICAM,CN1C(C(=O)Nc2ccccn2)=C(O)c2ccccc2S1(=O)=O,QYSPLQLAKJAUJT-UHFFFAOYSA-N,QYSPLQLAKJAUJT,1,most,BRD-A57382968,['REP.A014_HA1E_24H:D19'],name_stripped
PRIMIDONE,CCC1(c2ccccc2)C(=O)NCNC1=O,DQMZLTXERSFNPB-UHFFFAOYSA-N,DQMZLTXERSFNPB,0,no,BRD-K32247306,['REP.A003_HA1E_24H:E01'],inchikey
TEMAZEPAM,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,SEQDDYPDSLOBDC-UHFFFAOYSA-N,SEQDDYPDSLOBDC,1,less,BRD-A93093700,['REP.A028_HA1E_24H:D19'],inchikey
MIGLUSTAT,CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,UQRORFVVSGFNRO-UTINFBMNSA-N,UQRORFVVSGFNRO,0,no,BRD-K33251802,['REP.A008_HA1E_24H:F01'],inchikey
