query_name,cardiotox_label,DICT_Concern,parent_smiles,pert_id,scaffold,match_method,split
niacin,1,less,O=C(O)c1cccnc1,BRD-K60237333,c1ccncc1,inchikey,train
sotalol,1,most,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,BRD-A33168282,c1ccccc1,inchikey,train
DANAZOL,1,less,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,BRD-A92537424,C1=C2CC[C@H]3[C@@H]4CCCC4CC[C@@H]3C2Cc2cnoc21,inchikey,train
DIGOXIN,1,most,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,BRD-A94756469,O=C1C=C([C@H]2CCC3C2CC[C@@H]2C4CC[C@H](O[C@H]5CC[C@H](O[C@H]6CC[C@H](O[C@H]7CCCCO7)CO6)CO5)C[C@H]4CC[C@@H]32)CO1,inchikey,train
Aspirin,0,no,CC(=O)Oc1ccccc1C(=O)O,BRD-K11433652,c1ccccc1,inchikey,train
PINDOLOL,1,less,CC(C)NCC(O)COc1cccc2[nH]ccc12,BRD-A97701745,c1ccc2[nH]ccc2c1,inchikey,test
MIGLITOL,0,no,OCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,BRD-A63310107,C1CCNCC1,inchikey,val
Probucol,1,most,CC(C)(Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1)Sc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,BRD-K72029282,c1ccc(SCSc2ccccc2)cc1,inchikey,val
Busulfan,1,less,CS(=O)(=O)OCCCCOS(C)(=O)=O,BRD-K23204545,,inchikey,train
RILUZOLE,1,less,Nc1nc2ccc(OC(F)(F)F)cc2s1,BRD-K21283037,c1ccc2scnc2c1,inchikey,train
