Modality,Model,AUC-PR,AUC-PR_95CI_Low,AUC-PR_95CI_High,AUC-ROC,AUC-ROC_95CI_Low,AUC-ROC_95CI_High,Balanced_Acc,Accuracy,F1_Score,Precision,Recall
Baseline,Random Classifier (Prevalence),0.8648648648648649,0.8648648648648649,0.8648648648648649,0.5,0.5,0.5,0.5,0.1351351351351351,0.0,0.8648648648648649,0.0
Structure,Random Forest (200 trees),0.9394993942615392,0.8787523705333611,0.9899087605411974,0.72265625,0.5234375,0.905982905982906,0.6375,0.8108108108108109,0.8888888888888888,0.9032258064516129,0.875
Structure,Random Forest (500 trees),0.9372849058803523,0.8704834806177042,0.9907467923962435,0.7203124999999999,0.5053751977439989,0.9126817962503444,0.6453125,0.8243243243243243,0.8976377952755905,0.9047619047619048,0.890625
Structure,Logistic Regression (L2),0.9243573495462535,0.8453033177401044,0.9883435712173959,0.69375,0.45458066808813097,0.8952404972077104,0.621875,0.7837837837837838,0.8709677419354839,0.9,0.84375
Structure,Support Vector Classifier (RBF),0.9326000670222636,0.8619528003301147,0.988636882448455,0.7078125,0.4891645665322582,0.8951650705645161,0.6,0.8918918918918919,0.9411764705882353,0.8888888888888888,1.0
Structure,Support Vector Classifier (Linear),0.8950142623545025,0.7991227026626782,0.9746490199763839,0.6078125,0.37004472243442843,0.8282865418894829,0.5,0.8648648648648649,0.927536231884058,0.8648648648648649,1.0
Structure,Gradient Boosting (HistGBM),0.9298309578265236,0.867701447616033,0.9788900809701732,0.6609375000000001,0.4636978178368121,0.848668881972625,0.6796875,0.8108108108108109,0.8870967741935484,0.9166666666666666,0.859375
Structure,K-Nearest Neighbors (k=5),0.8809709976913779,0.7879459243814756,0.95684830808732,0.55234375,0.36715818903318914,0.7367204271681883,0.503125,0.7972972972972973,0.8854961832061069,0.8656716417910447,0.90625
Structure,2-Layer MLP (128-64),0.9086813202353785,0.826748681176048,0.9689939458521547,0.578125,0.37362187543639164,0.7863357843137254,0.5,0.8648648648648649,0.927536231884058,0.8648648648648649,1.0
Biology,Logistic Regression (L2),0.8502920077152278,0.7407215971238265,0.9540603256563494,0.4875,0.25979403858317524,0.7214204545454543,0.50625,0.7297297297297297,0.8387096774193549,0.8666666666666667,0.8125
Biology,Sparse Logistic Regression (L1),0.9061123195099383,0.8214430581140568,0.972035304518801,0.5921875,0.3765625,0.8014765585721467,0.5671875,0.6891891891891891,0.8034188034188035,0.8867924528301887,0.734375
Biology,ElasticNet Logistic Regression,0.8744982240500179,0.7771402776470372,0.9604092719696796,0.528125,0.29656379342781886,0.7464285714285714,0.5984375,0.7432432432432432,0.8429752066115702,0.8947368421052632,0.796875
Biology,Support Vector Classifier (Linear),0.8549249857288439,0.7524056418386601,0.966243269688796,0.5140625,0.2859292443667445,0.7310676729986432,0.5,0.8648648648648649,0.927536231884058,0.8648648648648649,1.0
Biology,Support Vector Classifier (RBF),0.8530804893516428,0.747720330921623,0.9647162392560875,0.509375,0.2892075163398693,0.7312587932900432,0.5,0.8648648648648649,0.927536231884058,0.8648648648648649,1.0
Biology,Random Forest (200 trees),0.8335825028600614,0.7323577672735253,0.9585485579301752,0.49375,0.23283229336510727,0.7258382626040304,0.5,0.8648648648648649,0.927536231884058,0.8648648648648649,1.0
Biology,Extra Trees (200 trees),0.9128998725267985,0.8270524505222002,0.9794009723274519,0.64765625,0.41538123401534544,0.8627576671694318,0.5,0.8648648648648649,0.927536231884058,0.8648648648648649,1.0
Biology,Gradient Boosting (HistGBM),0.8963644684846201,0.7981200338042042,0.9749438315189846,0.5890624999999999,0.3859586466165413,0.7670482397504457,0.46875,0.8108108108108109,0.8955223880597015,0.8571428571428571,0.9375
Biology,2-Layer MLP (256-64),0.9003624436498363,0.8186621086000428,0.9631192523032659,0.5328125,0.3589717741935484,0.7014955464612422,0.5,0.8648648648648649,0.927536231884058,0.8648648648648649,1.0
