2026-07-23 20:43:41 | 02_resolve_smiles | INFO | ============================================================
2026-07-23 20:43:41 | 02_resolve_smiles | INFO | SCRIPT: 02_resolve_smiles.py
2026-07-23 20:43:41 | 02_resolve_smiles | INFO | PURPOSE: ChEMBL SMILES resolution for all labeled compounds
2026-07-23 20:43:41 | 02_resolve_smiles | INFO | ============================================================
2026-07-23 20:43:41 | 02_resolve_smiles | INFO | Loaded 1211 labeled compounds from C:\Users\patel\Desktop\group_project\cardiotox-fusion\data\processed\labeled_compounds.csv
2026-07-23 20:43:41 | 02_resolve_smiles | INFO | [1/1211] Resolving: HYALURONIC ACID
2026-07-23 20:43:44 | 02_resolve_smiles | WARNING |   X HYALURONIC ACID: no_structure --  | No canonical_smiles in ChEMBL response
2026-07-23 20:43:44 | 02_resolve_smiles | INFO | [2/1211] Resolving: Olanzapine pamoate
2026-07-23 20:43:49 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 1/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:43:52 | 02_resolve_smiles | INFO |   Olanzapine pamoate: salt stripped (3 frags), removed: ['Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1', 'O']
2026-07-23 20:43:52 | 02_resolve_smiles | INFO |   OK Olanzapine pamoate -> O=C(O)c1cc2ccccc2c(Cc2c(O)c(C(=O)O)cc3cc... (method=exact_pref_name_match, frags=3)
2026-07-23 20:43:52 | 02_resolve_smiles | INFO | [3/1211] Resolving: Trimethobenzamide Hydrochloride
2026-07-23 20:43:58 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 1/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:44:02 | 02_resolve_smiles | INFO |   Trimethobenzamide Hydrochloride: salt stripped (2 frags), removed: ['Cl']
2026-07-23 20:44:02 | 02_resolve_smiles | INFO |   OK Trimethobenzamide Hydrochloride -> COc1cc(C(=O)NCc2ccc(OCCN(C)C)cc2)cc(OC)c... (method=exact_pref_name_match, frags=2)
2026-07-23 20:44:02 | 02_resolve_smiles | INFO | [4/1211] Resolving: PENICILLIN G BENZATHINE
2026-07-23 20:44:08 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 1/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:44:15 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 2/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:44:19 | 02_resolve_smiles | INFO |   PENICILLIN G BENZATHINE: salt stripped (7 frags), removed: ['CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O', 'c1ccc(CNCCNCc2ccccc2)cc1', 'O', 'O', 'O', 'O']
2026-07-23 20:44:19 | 02_resolve_smiles | INFO |   OK PENICILLIN G BENZATHINE -> CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O... (method=exact_pref_name_match, frags=7)
2026-07-23 20:44:19 | 02_resolve_smiles | INFO | [5/1211] Resolving: paliperidone palmitate
2026-07-23 20:44:40 | 02_resolve_smiles | WARNING | Timeout on attempt 1/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:44:44 | 02_resolve_smiles | INFO |   OK paliperidone palmitate -> CCCCCCCCCCCCCCCC(=O)OC1CCCn2c1nc(C)c(CCN... (method=exact_pref_name_match, frags=1)
2026-07-23 20:44:44 | 02_resolve_smiles | INFO | [6/1211] Resolving: TESTOSTERONE UNDECANOATE
2026-07-23 20:44:49 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 1/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:44:52 | 02_resolve_smiles | INFO |   OK TESTOSTERONE UNDECANOATE -> CCCCCCCCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC... (method=exact_pref_name_match, frags=1)
2026-07-23 20:44:52 | 02_resolve_smiles | INFO | [7/1211] Resolving: aripiprazole lauroxil
2026-07-23 20:44:54 | 02_resolve_smiles | INFO |   OK aripiprazole lauroxil -> CCCCCCCCCCCC(=O)OCN1C(=O)CCc2ccc(OCCCCN3... (method=exact_pref_name_match, frags=1)
2026-07-23 20:44:54 | 02_resolve_smiles | INFO | [8/1211] Resolving: PASIREOTIDE
2026-07-23 20:45:00 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 1/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:45:03 | 02_resolve_smiles | INFO |   OK PASIREOTIDE -> NCCCC[C@@H]1NC(=O)[C@@H](Cc2c[nH]c3ccccc... (method=exact_pref_name_match, frags=1)
2026-07-23 20:45:03 | 02_resolve_smiles | INFO | [9/1211] Resolving: triptorelin
2026-07-23 20:45:09 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 1/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:45:16 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 2/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:45:20 | 02_resolve_smiles | INFO |   OK triptorelin -> CC(C)C[C@H](NC(=O)[C@@H](Cc1c[nH]c2ccccc... (method=exact_pref_name_match, frags=1)
2026-07-23 20:45:20 | 02_resolve_smiles | INFO | [10/1211] Resolving: naltrexone
2026-07-23 20:45:25 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 1/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:45:31 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 2/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:45:54 | 02_resolve_smiles | WARNING | Timeout on attempt 3/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:45:54 | 02_resolve_smiles | WARNING |   X naltrexone: api_error -- API request failed after all retries
2026-07-23 20:45:54 | 02_resolve_smiles | INFO | [11/1211] Resolving: CABOTEGRAVIR SODIUM
2026-07-23 20:45:59 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 1/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:46:06 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 2/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:46:13 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 3/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:46:13 | 02_resolve_smiles | WARNING |   X CABOTEGRAVIR SODIUM: api_error -- API request failed after all retries
2026-07-23 20:46:13 | 02_resolve_smiles | INFO | [12/1211] Resolving: Fulvestrant
2026-07-23 20:46:19 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 1/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:46:26 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 2/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:46:33 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 3/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:46:33 | 02_resolve_smiles | WARNING |   X Fulvestrant: api_error -- API request failed after all retries
2026-07-23 20:46:33 | 02_resolve_smiles | INFO | [13/1211] Resolving: Dimercaprol
2026-07-23 20:46:39 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 1/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:46:46 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 2/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:46:53 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 3/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:46:53 | 02_resolve_smiles | WARNING |   X Dimercaprol: api_error -- API request failed after all retries
2026-07-23 20:46:53 | 02_resolve_smiles | INFO | [14/1211] Resolving: TRIPTORELIN PAMOATE
2026-07-23 20:47:15 | 02_resolve_smiles | WARNING | Timeout on attempt 1/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:47:18 | 02_resolve_smiles | INFO |   TRIPTORELIN PAMOATE: salt stripped (2 frags), removed: ['O=C(O)c1cc2ccccc2c(Cc2c(O)c(C(=O)O)cc3ccccc23)c1O']
2026-07-23 20:47:18 | 02_resolve_smiles | INFO |   OK TRIPTORELIN PAMOATE -> CC(C)C[C@H](NC(=O)[C@@H](Cc1c[nH]c2ccccc... (method=exact_pref_name_match, frags=2)
2026-07-23 20:47:18 | 02_resolve_smiles | INFO | [15/1211] Resolving: CARBOPROST TROMETHAMINE
2026-07-23 20:47:20 | 02_resolve_smiles | INFO |   CARBOPROST TROMETHAMINE: salt stripped (2 frags), removed: ['NC(CO)(CO)CO']
2026-07-23 20:47:20 | 02_resolve_smiles | INFO |   OK CARBOPROST TROMETHAMINE -> CCCCC[C@](C)(O)/C=C/[C@@H]1[C@@H](C/C=C\... (method=exact_pref_name_match, frags=2)
2026-07-23 20:47:20 | 02_resolve_smiles | INFO | [16/1211] Resolving: HYDROXOCOBALAMIN ACETATE
2026-07-23 20:47:41 | 02_resolve_smiles | WARNING | Timeout on attempt 1/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:48:03 | 02_resolve_smiles | WARNING | Timeout on attempt 2/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:48:08 | 02_resolve_smiles | WARNING |   HYDROXOCOBALAMIN ACETATE: fallback to score-based selection -- verify manually if critical
2026-07-23 20:48:08 | 02_resolve_smiles | WARNING |   X HYDROXOCOBALAMIN ACETATE: no_structure -- No exact pref_name match; chose highest score (41.0) among 20 candidates | No canonical_smiles in ChEMBL response
2026-07-23 20:48:08 | 02_resolve_smiles | INFO | [17/1211] Resolving: Cyanocobalamin
2026-07-23 20:48:19 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 1/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:48:26 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 2/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:48:33 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 3/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:48:33 | 02_resolve_smiles | WARNING |   X Cyanocobalamin: api_error -- API request failed after all retries
2026-07-23 20:48:33 | 02_resolve_smiles | INFO | [18/1211] Resolving: ESTRADIOL VALERATE
2026-07-23 20:48:54 | 02_resolve_smiles | WARNING | Timeout on attempt 1/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:49:01 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 2/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:49:08 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 3/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:49:08 | 02_resolve_smiles | WARNING |   X ESTRADIOL VALERATE: api_error -- API request failed after all retries
2026-07-23 20:49:08 | 02_resolve_smiles | INFO | [19/1211] Resolving: TESTOSTERONE CYPIONATE
2026-07-23 20:49:14 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 1/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:49:21 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 2/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:49:28 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 3/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:49:28 | 02_resolve_smiles | WARNING |   X TESTOSTERONE CYPIONATE: api_error -- API request failed after all retries
2026-07-23 20:49:28 | 02_resolve_smiles | INFO | [20/1211] Resolving: STREPTOMYCIN SULFATE
2026-07-23 20:49:34 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 1/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:49:41 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 2/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:50:04 | 02_resolve_smiles | WARNING | Timeout on attempt 3/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:50:04 | 02_resolve_smiles | WARNING |   X STREPTOMYCIN SULFATE: api_error -- API request failed after all retries
2026-07-23 20:50:04 | 02_resolve_smiles | INFO | [21/1211] Resolving: MEDROXYPROGESTERONE ACETATE
2026-07-23 20:50:09 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 1/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:50:16 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 2/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
2026-07-23 20:50:23 | 02_resolve_smiles | WARNING | HTTP 500 on attempt 3/3: https://www.ebi.ac.uk/chembl/api/data/molecule/search
