2026-07-23 20:38:06 | 03_match_lincs | INFO | ============================================================
2026-07-23 20:38:06 | 03_match_lincs | INFO | SCRIPT: 03_match_lincs.py
2026-07-23 20:38:06 | 03_match_lincs | INFO | PURPOSE: Match compounds against LINCS L1000 GSE70138
2026-07-23 20:38:06 | 03_match_lincs | INFO | ============================================================
2026-07-23 20:38:32 | 03_match_lincs | INFO | ============================================================
2026-07-23 20:38:32 | 03_match_lincs | INFO | SCRIPT: 03_match_lincs.py
2026-07-23 20:38:32 | 03_match_lincs | INFO | PURPOSE: Match compounds against LINCS L1000 GSE70138
2026-07-23 20:38:32 | 03_match_lincs | INFO | ============================================================
2026-07-23 20:38:32 | 03_match_lincs | WARNING | SMILES CSV not found — using labeled_compounds.csv for name-only matching.
2026-07-23 20:38:32 | 03_match_lincs | WARNING | Run 02_resolve_smiles.py later to enable InChIKey-based matching.
2026-07-23 20:38:32 | 03_match_lincs | INFO | Loaded 1211 compounds from labels CSV (name-only matching)
2026-07-23 20:38:32 | 03_match_lincs | INFO | LINCS sig_info: (118050, 8) (118050 unique sigs)
2026-07-23 20:38:32 | 03_match_lincs | INFO | LINCS pert_info: (2170, 5) (2170 unique compounds)
2026-07-23 20:38:32 | 03_match_lincs | INFO | Matching compounds against LINCS L1000...
2026-07-23 20:38:33 | 03_match_lincs | WARNING |   BRD-K37798499: no HA1E signatures found, trying any cell line
2026-07-23 20:38:33 | 03_match_lincs | WARNING |   BRD-M45964048: no HA1E signatures found, trying any cell line
2026-07-23 20:38:34 | 03_match_lincs | WARNING |   BRD-K37798499: no HA1E signatures found, trying any cell line
2026-07-23 20:38:34 | 03_match_lincs | WARNING |   BRD-K31283835: no HA1E signatures found, trying any cell line
2026-07-23 20:38:36 | 03_match_lincs | WARNING |   BRD-K69608737: no HA1E signatures found, trying any cell line
2026-07-23 20:38:40 | 03_match_lincs | INFO | ============================================================
2026-07-23 20:38:40 | 03_match_lincs | INFO | LINCS COVERAGE REPORT
2026-07-23 20:38:40 | 03_match_lincs | INFO |   Total compounds (valid SMILES) : 1211
2026-07-23 20:38:40 | 03_match_lincs | INFO |   Matched to LINCS              : 459 (37.9%)
2026-07-23 20:38:40 | 03_match_lincs | INFO |   - By direct name              : 287
2026-07-23 20:38:40 | 03_match_lincs | INFO |   - By salt-stripped name       : 172
2026-07-23 20:38:40 | 03_match_lincs | INFO |   - By InChIKey only            : 0
2026-07-23 20:38:40 | 03_match_lincs | INFO |   Coverage — label 0 (no concern): 97/343 (28.3%)
2026-07-23 20:38:40 | 03_match_lincs | INFO |   Coverage — label 1 (concern)  : 362/868 (41.7%)
2026-07-23 20:38:40 | 03_match_lincs | INFO |   ⚠ Coverage gap (pos-neg)     : 13.4% more coverage for toxic class
2026-07-23 20:38:40 | 03_match_lincs | INFO |   → Stratified split REQUIRED to handle imbalance
2026-07-23 20:38:40 | 03_match_lincs | INFO | ============================================================
2026-07-23 20:38:40 | 03_match_lincs | INFO | Match results saved to: C:\Users\patel\Desktop\group_project\cardiotox-fusion\data\processed\lincs_matched_compounds.csv
2026-07-23 20:38:40 | 03_match_lincs | INFO | 03_match_lincs.py COMPLETE
2026-07-23 20:39:23 | 03_match_lincs | INFO | ============================================================
2026-07-23 20:39:23 | 03_match_lincs | INFO | SCRIPT: 03_match_lincs.py
2026-07-23 20:39:23 | 03_match_lincs | INFO | PURPOSE: Match compounds against LINCS L1000 GSE70138
2026-07-23 20:39:23 | 03_match_lincs | INFO | ============================================================
2026-07-23 20:39:23 | 03_match_lincs | WARNING | SMILES CSV not found -- using labeled_compounds.csv for name-only matching.
2026-07-23 20:39:23 | 03_match_lincs | WARNING | Run 02_resolve_smiles.py later to enable InChIKey-based matching.
2026-07-23 20:39:23 | 03_match_lincs | INFO | Loaded 1211 compounds from labels CSV (name-only matching)
2026-07-23 20:39:24 | 03_match_lincs | INFO | LINCS sig_info: (118050, 8) (118050 unique sigs)
2026-07-23 20:39:24 | 03_match_lincs | INFO | LINCS pert_info: (2170, 5) (2170 unique compounds)
2026-07-23 20:39:24 | 03_match_lincs | INFO | Matching compounds against LINCS L1000...
2026-07-23 20:39:25 | 03_match_lincs | WARNING |   BRD-K37798499: no HA1E signatures found, trying any cell line
2026-07-23 20:39:25 | 03_match_lincs | WARNING |   BRD-M45964048: no HA1E signatures found, trying any cell line
2026-07-23 20:39:25 | 03_match_lincs | WARNING |   BRD-K37798499: no HA1E signatures found, trying any cell line
2026-07-23 20:39:26 | 03_match_lincs | WARNING |   BRD-K31283835: no HA1E signatures found, trying any cell line
2026-07-23 20:39:28 | 03_match_lincs | WARNING |   BRD-K69608737: no HA1E signatures found, trying any cell line
2026-07-23 20:39:32 | 03_match_lincs | INFO | ============================================================
2026-07-23 20:39:32 | 03_match_lincs | INFO | LINCS COVERAGE REPORT
2026-07-23 20:39:32 | 03_match_lincs | INFO |   Total compounds (valid SMILES) : 1211
2026-07-23 20:39:32 | 03_match_lincs | INFO |   Matched to LINCS              : 459 (37.9%)
2026-07-23 20:39:32 | 03_match_lincs | INFO |   - By direct name              : 287
2026-07-23 20:39:32 | 03_match_lincs | INFO |   - By salt-stripped name       : 172
2026-07-23 20:39:32 | 03_match_lincs | INFO |   - By InChIKey only            : 0
2026-07-23 20:39:32 | 03_match_lincs | INFO |   Coverage - label 0 (no concern): 97/343 (28.3%)
2026-07-23 20:39:32 | 03_match_lincs | INFO |   Coverage - label 1 (concern)  : 362/868 (41.7%)
2026-07-23 20:39:32 | 03_match_lincs | INFO |   Coverage gap (pos-neg)     : 13.4% more coverage for toxic class
2026-07-23 20:39:32 | 03_match_lincs | INFO |   => Stratified split REQUIRED to handle imbalance
2026-07-23 20:39:32 | 03_match_lincs | INFO | ============================================================
2026-07-23 20:39:32 | 03_match_lincs | INFO | Match results saved to: C:\Users\patel\Desktop\group_project\cardiotox-fusion\data\processed\lincs_matched_compounds.csv
2026-07-23 20:39:32 | 03_match_lincs | INFO | 03_match_lincs.py COMPLETE
2026-07-23 22:23:52 | 03_match_lincs | INFO | ============================================================
2026-07-23 22:23:52 | 03_match_lincs | INFO | SCRIPT: 03_match_lincs.py
2026-07-23 22:23:52 | 03_match_lincs | INFO | PURPOSE: Match compounds against LINCS L1000 GSE70138
2026-07-23 22:23:52 | 03_match_lincs | INFO | ============================================================
2026-07-23 22:23:52 | 03_match_lincs | INFO | Loaded 1211 compounds from SMILES CSV; 1048 with valid SMILES
2026-07-23 22:23:52 | 03_match_lincs | INFO | InChIKey-based matching ENABLED (SMILES CSV present)
2026-07-23 22:23:53 | 03_match_lincs | INFO | LINCS sig_info: (118050, 8) (118050 unique sigs)
2026-07-23 22:23:53 | 03_match_lincs | INFO | LINCS pert_info: (2170, 5) (2170 unique compounds)
2026-07-23 22:23:53 | 03_match_lincs | INFO | Matching compounds against LINCS L1000...
2026-07-23 22:23:54 | 03_match_lincs | WARNING |   BRD-K37798499: no HA1E signatures found, trying any cell line
2026-07-23 22:23:54 | 03_match_lincs | WARNING |   BRD-K37798499: no HA1E signatures found, trying any cell line
2026-07-23 22:23:55 | 03_match_lincs | WARNING |   BRD-K69608737: no HA1E signatures found, trying any cell line
2026-07-23 22:23:55 | 03_match_lincs | WARNING |   BRD-K31283835: no HA1E signatures found, trying any cell line
2026-07-23 22:23:57 | 03_match_lincs | WARNING |   BRD-K93468883: no HA1E signatures found, trying any cell line
2026-07-23 22:23:58 | 03_match_lincs | WARNING |   BRD-K69608737: no HA1E signatures found, trying any cell line
2026-07-23 22:24:02 | 03_match_lincs | INFO | ============================================================
2026-07-23 22:24:02 | 03_match_lincs | INFO | LINCS COVERAGE REPORT
2026-07-23 22:24:02 | 03_match_lincs | INFO |   Total compounds (valid SMILES) : 1048
2026-07-23 22:24:02 | 03_match_lincs | INFO |   Matched to LINCS              : 562 (53.6%)
2026-07-23 22:24:02 | 03_match_lincs | INFO |   - By direct name              : 282
2026-07-23 22:24:02 | 03_match_lincs | INFO |   - By salt-stripped name       : 169
2026-07-23 22:24:02 | 03_match_lincs | INFO |   - By InChIKey only            : 53
2026-07-23 22:24:02 | 03_match_lincs | INFO |   Coverage - label 0 (no concern): 117/279 (41.9%)
2026-07-23 22:24:02 | 03_match_lincs | INFO |   Coverage - label 1 (concern)  : 445/769 (57.9%)
2026-07-23 22:24:02 | 03_match_lincs | INFO |   Coverage gap (pos-neg)     : 15.9% more coverage for toxic class
2026-07-23 22:24:02 | 03_match_lincs | INFO |   => Stratified split REQUIRED to handle imbalance
2026-07-23 22:24:02 | 03_match_lincs | INFO | ============================================================
