2026-07-25 22:05:56 | 09_evaluate | INFO | ============================================================
2026-07-25 22:05:56 | 09_evaluate | INFO | SCRIPT: 09_evaluate.py -- Fair Comparison on Same Test Set
2026-07-25 22:05:56 | 09_evaluate | INFO | ============================================================
2026-07-25 22:06:26 | 09_evaluate | INFO | ============================================================
2026-07-25 22:06:26 | 09_evaluate | INFO | SCRIPT: 09_evaluate.py -- Fair Comparison on Same Test Set
2026-07-25 22:06:26 | 09_evaluate | INFO | ============================================================
2026-07-25 22:06:32 | 09_evaluate | INFO | GNN (structure-only): AUC-ROC=0.6799 (95% CI: 0.5516-0.7952)
2026-07-25 22:06:36 | 09_evaluate | INFO | Transformer (biology-only): AUC-ROC=0.5224 (95% CI: 0.3608-0.6795)
2026-07-25 22:06:40 | 09_evaluate | INFO | Fusion (GNN+Transformer): AUC-ROC=0.6957 (95% CI: 0.5674-0.8045)
2026-07-25 22:06:42 | 09_evaluate | INFO | ROC/PR curves saved to: C:\Users\patel\Desktop\group_project\cardiotox-fusion\results\roc_pr_curves.png
2026-07-25 22:06:42 | 09_evaluate | INFO | Comparison report: C:\Users\patel\Desktop\group_project\cardiotox-fusion\results\baseline_comparison.md
2026-07-25 22:06:42 | 09_evaluate | INFO | 09_evaluate.py COMPLETE
