2026-07-25 22:09:52 | 10_interpretability | INFO | ============================================================
2026-07-25 22:09:52 | 10_interpretability | INFO | SCRIPT: 10_interpretability.py -- Attention => Toxicophore Validation
2026-07-25 22:09:52 | 10_interpretability | INFO | ============================================================
2026-07-25 22:09:53 | 10_interpretability | WARNING | Gene name file not found -- using index-based gene labels
2026-07-25 22:09:53 | 10_interpretability | INFO | Gene names loaded: 978 genes
2026-07-25 22:09:54 | 10_interpretability | INFO |   MILTEFOSINE (label=0, pred=0.554): top gene=GENE_376, toxicophores=['herg_blocker_basic']
2026-07-25 22:09:54 | 10_interpretability | INFO |   NORETHINDRONE (label=0, pred=0.307): top gene=GENE_376, toxicophores=['michael_acceptor']
2026-07-25 22:09:55 | 10_interpretability | INFO |   DOPAMINE HYDROCHLORIDE (label=1, pred=0.752): top gene=GENE_376, toxicophores=[]
2026-07-25 22:09:56 | 10_interpretability | INFO |   SITAGLIPTIN PHOSPHATE (label=1, pred=0.585): top gene=GENE_376, toxicophores=[]
2026-07-25 22:09:56 | 10_interpretability | INFO |   TOLVAPTAN (label=1, pred=0.511): top gene=GENE_376, toxicophores=[]
2026-07-25 22:09:57 | 10_interpretability | INFO |   LAPATINIB DITOSYLATE (label=1, pred=0.618): top gene=GENE_376, toxicophores=[]
2026-07-25 22:09:58 | 10_interpretability | INFO |   LISINOPRIL (label=1, pred=0.521): top gene=GENE_376, toxicophores=[]
2026-07-25 22:09:58 | 10_interpretability | INFO |   MITOXANTRONE HYDROCHLORIDE (label=1, pred=0.737): top gene=GENE_376, toxicophores=[]
2026-07-25 22:09:59 | 10_interpretability | INFO |   Tepotinib Hydrochloride (label=0, pred=0.730): top gene=GENE_376, toxicophores=['herg_blocker_basic']
2026-07-25 22:10:00 | 10_interpretability | INFO |   PASIREOTIDE (label=1, pred=0.621): top gene=GENE_376, toxicophores=[]
2026-07-25 22:10:00 | 10_interpretability | INFO |   LEVOKETOCONAZOLE (label=1, pred=0.662): top gene=GENE_376, toxicophores=[]
2026-07-25 22:10:01 | 10_interpretability | INFO |   NEFAZODONE HYDROCHLORIDE (label=1, pred=0.749): top gene=GENE_376, toxicophores=['herg_blocker_basic']
2026-07-25 22:10:02 | 10_interpretability | INFO |   IVABRADINE HYDROCHLORIDE (label=1, pred=0.730): top gene=GENE_376, toxicophores=['herg_blocker_basic']
2026-07-25 22:10:02 | 10_interpretability | INFO |   Phentermine (label=1, pred=0.771): top gene=GENE_376, toxicophores=[]
2026-07-25 22:10:03 | 10_interpretability | INFO |   CARISOPRODOL (label=1, pred=0.357): top gene=GENE_376, toxicophores=[]
2026-07-25 22:10:04 | 10_interpretability | INFO |   CHENODIOL (label=0, pred=0.294): top gene=GENE_376, toxicophores=[]
2026-07-25 22:10:04 | 10_interpretability | INFO |   TEMAZEPAM (label=1, pred=0.379): top gene=GENE_376, toxicophores=[]
2026-07-25 22:10:05 | 10_interpretability | INFO |   ATORVASTATIN (label=0, pred=0.355): top gene=GENE_376, toxicophores=[]
2026-07-25 22:10:06 | 10_interpretability | INFO |   METFORMIN HYDROCHLORIDE (label=1, pred=0.752): top gene=GENE_376, toxicophores=[]
2026-07-25 22:10:06 | 10_interpretability | INFO |   DIAZEPAM (label=1, pred=0.511): top gene=GENE_376, toxicophores=[]
2026-07-25 22:10:07 | 10_interpretability | INFO |   DEUTETRABENAZINE (label=1, pred=0.615): top gene=GENE_376, toxicophores=['herg_blocker_basic']
2026-07-25 22:10:08 | 10_interpretability | INFO |   CLOZAPINE (label=1, pred=0.754): top gene=GENE_376, toxicophores=['herg_blocker_basic']
2026-07-25 22:10:08 | 10_interpretability | INFO |   brexpiprazole (label=1, pred=0.751): top gene=GENE_376, toxicophores=['herg_blocker_basic']
2026-07-25 22:10:09 | 10_interpretability | INFO |   TIPRANAVIR (label=0, pred=0.323): top gene=GENE_376, toxicophores=['michael_acceptor']
2026-07-25 22:10:10 | 10_interpretability | INFO |   Adenosine (label=1, pred=0.171): top gene=GENE_376, toxicophores=[]
2026-07-25 22:10:10 | 10_interpretability | INFO |   Benfluorex (label=1, pred=0.679): top gene=GENE_376, toxicophores=[]
2026-07-25 22:10:11 | 10_interpretability | INFO |   DOLASETRON MESYLATE (label=1, pred=0.518): top gene=GENE_376, toxicophores=['herg_blocker_basic']
